50,FOREST PKY/ASH ST,33.618928,-84.361406,10,4,4.29,10,30,60,21,9,10.5
51,NORTHWEST DR NW/1375,33.792874,-84.481239,10,5,4.48,10,58,60,21,11,28
52,FOREST PKY/BARTLETT DR,33.6162,-84.352853,10,6,1.67,10,40,60,21,13,17.5
53,FOREST PKY/MAPLE DR,33.618204,-84.358551,10,7,2.06,10,38,60,21,15,21
54,CONLEY RD SE/JONESBORO RD SE,33.648649,-84.364231,10,8,1.17,10,46,60,21,17,24.5
55,FORREST PARK RD/CONLEY RD,33.650337,-84.358284,10,11,2.34,10,45,60,21,23,28
56,HUTCHENS RD/860,33.665768,-84.357496,11,0,20.56,10,38,60,23,1,31.5
57,MAIN ST/JONESBORO RD,33.618689,-84.352257,11,1,21.46,10,46,60,23,3,35
58,MAIN ST/PHILLIPS DR,33.619189,-84.355838,11,2,10.37,10,45,60,23,5,3.5
59,MAIN ST/COLLEGE ST,33.620038,-84.360657,11,3,13.58,10,20,60,23,7,7
60,JONESBORO RD SE/HARPER RD SE,33.696541,-84.369633,11,4,14.91,15,38,60,23,9,10.5
61,JONESBORO RD SE/CLAIRE DR SE,33.705077,-84.378688,11,5,10.37,15,48,60,23,11,14
62,BROWNS MILL RD/HARPER RD,33.696951,-84.37388,11,6,4.85,15,30,60,23,13,17.5
63,HANK AARON DR SE/BASS ST SE,33.735668,-84.387914,11,7,6.92,15,20,60,23,15,21
64,UNIVERSITY AVE SW/71,33.721049,-84.389837,11,8,8.39,10,43,60,23,17,24.5
65,JONESBORO RD SE/CONSTITUTION RD SE,33.693328,-84.366969,11,9,1.57,5,30,60,23,25,28
66,BROWNS MILL RD SE/GREENDALE DR SE,33.69968,-84.375218,11,12,2.68,10,58,60,25,1,31.5
67,HUTCHENS RD SE/916,33.666018,-84.359809,12,0,10.47,10,40,60,25,3,3.5
68,UNIVERSITY AVE SW/PRYOR RD SW,33.721495,-84.392543,12,1,14.03,10,38,60,25,5,7
69,HARPER RD SE/BURROUGHS AVE SE,33.69688,-84.371208,12,2,10.47,10,46,60,25,7,10.5
70,JONESBORO RD SE/MCWILLIAMS RD SE,33.688817,-84.364023,12,3,10.37,10,45,60,25,9,14
71,PEACHTREE ST/MARTIN L KING JR DR,33.7521,-84.392146,12,4,14.91,10,30,60,25,11,17.5
72,JONESBORO RD SE/2491,33.685335,-84.364793,12,5,4.85,10,20,60,25,13,21
73,JONESBORO RD/RUSKIN DR,33.646653,-84.36486,12,6,6.92,10,35,60,25,15,24.5
74,JONESBORO RD/SCOTT RD,33.643269,-84.363273,12,7,8.39,10,20,60,25,17,28
75,JONESBORO RD/CONLEY RD,33.638919,-84.360937,12,8,1.57,15,35,60,25,19,3.5
76,JONESBORO RD/COLLEGE ST,33.634515,-84.358602,12,9,3.48,15,36,60,25,21,3.5
77,JONESBORO RD/ERNEST DR,33.632564,-84.357559,12,10,4.85,15,31,60,,,
78,JONESBORO RD/OLD JONESBORO RD,33.628473,-84.355929,12,13,6.92,10,40,60,,,
79,JONESBORO RD SE/WHATLEY ST SE,33.706679,-84.379645,13,0,8.39,10,37,60,,,
80,MITCHELL ST SW/PRYOR ST SW,33.750292,-84.391905,13,1,14.91,10,38,60,,,
81,CAPITOL SQ SW/CAPITOL PL SW,33.748217,-84.38812,13,2,13.58,10,40,60,,,
82,MCDONOUGH BLVD SE/MARCY ST SE,33.720237,-84.386424,13,3,14.91,10,38,60,,,
83,JONESBORO RD SE/JORDAN ST SE,33.703851,-84.377644,13,4,16.08,10,46,60,,,
84,BROWNS MILL RD SE/LAQUITA DR SE,33.70275,-84.376622,13,5,2.31,5,45,60,,,
85,MITCHELL ST SW/CENTRAL AVE SW,33.74963,-84.390687,13,6,4.85,10,30,60,,,
86,HANK AARON DR/VANIRA AVE SE,33.72916,-84.38816,13,7,6.92,10,20,60,,,
87,BROAD ST/ALABAMA ST (FIVE POINTS STATION),33.753138,-84.392179,13,8,8.39,10,35,60,,,
88,JONESBORO RD SE/SPRINGSIDE DR SE,33.676739,-84.369991,13,9,4.89,10,58,60,,,
89,JONESBORO RD SE/SPRINGSIDE DR,33.675201,-84.370819,13,10,3.94,15,40,60,,,
90,WEYMAN AVE SW/RIDGE AVE SW,33.725032,-84.390764,13,11,3.67,15,46,60,,,
91,JONESBORO RD SE/MOURY AVE SE,33.713283,-84.38267,13,14,3.1,15,45,60,,,
92,WEYMAN AVE/HANK AARON DR,33.72506,-84.388406,14,0,10.27,15,20,60,,,
93,JONESBORO RD SE/LETHEA ST SE,33.709497,-84.381342,14,1,7.89,15,38,60,,,
94,BROWNS MILL RD SE/2039,33.698606,-84.374588,14,2,6.38,15,30,60,,,
95,JONESBORO RD SE/CLEVELAND AVE SE,33.680339,-84.367375,14,3,4.87,15,58,60,,,
96,HANK AARON DR SW/LITTLE ST SE,33.733384,-84.388108,14,4,4.82,15,40,60,,,
97,HANK AARON DR/964,33.728348,-84.388199,14,5,2.39,10,38,60,,,
98,HANK AARON DR/ORMOND ST SE,33.731434,-84.387987,14,6,3.94,15,46,60,,,
99,HANK AARON DR/RALPH D ABERNATHY BLVD,33.737136,-84.387883,14,7,3.67,15,45,60,,,
,,,,14,8,3.1,10,38,60,,,
,,,,14,9,2.89,10,46,60,,,
,,,,14,10,3,10,45,60,,,
,,,,14,11,2.87,15,20,60,,,
,,,,14,12,4.56,15,38,60,,,
,,,,14,15,1.23,15,48,60,,,
,,,,15,0,6.98,10,30,60,,,
,,,,15,1,8.38,10,20,60,,,
,,,,15,2,4.92,10,43,60,,,
,,,,15,3,6.98,10,30,60,,,
,,,,15,4,1.74,15,58,60,,,
,,,,15,5,2.99,10,40,60,,,
,,,,15,6,4.72,10,38,60,,,
,,,,15,7,5.86,10,46,60,,,
,,,,15,8,431,10,45,60,,,
,,,,15,9,3.1,10,30,60,,,
,,,,15,10,2.89,10,40,60,,,
,,,,15,11,3.01,10,38,60,,,
,,,,15,12,4.86,10,46,60,,,
,,,,15,13,5.91,10,45,60,,,
